ID,NOM,CARREC,TRACTAMENT,RESP,IDDEP,DEP,IDPARE,CODIDEP,NIF,ORDRE,DATA MODIFICACIO,DATACREACIO,CP,POB,CODI_INE_MUNICIPI,COM,ADRECA,LATITUD,LONGITUD,Georeferència
10233,Negociat d'Estatuts,cap del Negociat,Sra.,Aurora Sánchez Sanclemente,19775,Departament d'Empresa i Treball,10018,EMO,,1000,16/12/2021,29/03/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,POINT (2.174350972 41.373678722)
10024,Negociat de Regulació d'Ocupació,cap del Negociat de Regulació d'Ocupació,Sra.,Núria Juberias Huertes,19775,Departament d'Empresa i Treball,10019,EMO,,1000,11/11/2022,11/01/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,
10025,Negociat de Sancions,cap del Negociat de Sancions,Sra.,Sandra Giménez Hernández,19775,Departament d'Empresa i Treball,10020,EMO,,1000,11/11/2022,11/01/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,
10032,Secció d'Iniciatives per al Treball,cap de la Secció d'Iniciatives per al Treball (e.f.),Sra.,Teresa del Pilar Freile i Zazo,19775,Departament d'Empresa i Treball,10028,EMO,,1000,21/03/2024,11/01/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,
10033,Secció de Cooperatives,cap de la Secció de Cooperatives (e.f.),Sra.,Montserrat Cursellas i Valls,19775,Departament d'Empresa i Treball,10028,EMO,,2000,21/03/2024,11/01/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,
10237,Negociat d'Iniciatives,cap del Negociat d'Iniciatives (e.f.),Sr.,Antoni Cobo Castillo,19775,Departament d'Empresa i Treball,10032,EMO,,500,16/12/2021,29/03/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,POINT (2.174350972 41.373678722)
10238,Negociat de Registre,cap del Negociat de Registre,Sra.,Begoña Navarrete Cantarino,19775,Departament d'Empresa i Treball,10033,EMO,,500,28/09/2022,29/03/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,POINT (2.174350972 41.373678722)
9223,Oficina de Treball de Solsona,director de l'Oficina de Treball de Solsona (e.f.),Sr.,Jordi Molero Campoy,19775,Departament d'Empresa i Treball,10038,SOC,,93132,15/06/2023,08/01/1998,25280,Solsona,25207,Solsonès,"Alcalde Moles 16-20 baixos, local 1",41.992315517,1.511673324,
9337,Oficina de Treball de l'Anoia,director de l'Oficina de Treball de l'Anoia (e.f.),Sr.,Juan Fernández Muñoz,19775,Departament d'Empresa i Treball,10038,SOC,,36531,15/06/2023,12/01/1998,08700,Igualada,08102,Anoia,Mossèn Jacint Verdaguer 132,41.579198548,1.625959517,
9180,Oficina de Treball de Berga,director de l'Oficina de Treball de Berga,Sr.,Francesc Clavel Moliner,19775,Departament d'Empresa i Treball,10038,SOC,,61687,15/06/2023,07/01/1998,08600,Berga,08022,Berguedà,Canal Industrial 9-11-13,42.103557829,1.851843966,
9209,Oficina de Treball de Vic,directora de l'Oficina de Treball de Vic (e.f.),Sra.,Sandra Lorente Riu,19775,Departament d'Empresa i Treball,10038,SOC,,99421,03/01/2024,08/01/1998,08500,Vic,08298,Osona,Ramon Sala i Saçala s/n,41.936120201,2.259159251,
9191,Oficina de Treball de Manresa,directora de l'Oficina de Treball de Manresa (e.f.),Sra.,Inmaculada Cornellana i Codina,19775,Departament d'Empresa i Treball,10038,SOC,,86843,15/06/2023,07/01/1998,08240,Manresa,08113,Bages,Verge de l'Alba 5-7,41.726896223,1.828791334,
16728,Secció Verificació sobre el Terreny de Catalunya Central,cap de la Secció de Verificació sobre el Terreny de Catalunya Central,Sr.,Xavier Masferrer Sala,19775,Departament d'Empresa i Treball,10038,SOC,,11000,15/06/2023,09/07/2008,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
16281,Responsable d'Economia Social i Autoempresa,,Sra.,M. Rosa Marimón Brunsó,19775,Departament d'Empresa i Treball,10042,EMO,,100000,08/10/2021,09/11/2007,17002,Girona,17079,Gironès,Pompeu Fabra 1,41.981071059,2.822207293,POINT (2.822207293 41.981071059)
13457,Comissió d'Avaluació de la Recerca,president de la Comissió d'Avaluació de la Recerca,Dr.,Lluís Torner,21648,Departament de Recerca i Universitats,10081,UNI,,3000,02/06/2021,26/02/2003,,,,,,,,
18163,Direcció de l'Agència per a la Qualitat del Sistema Universitari de Catalunya (AQU),director de l'Agència per a la Qualitat del Sistema Universitari de Catalunya,Sr.,Jaume Valls Pasola,21648,Departament de Recerca i Universitats,10081,UNI,,1500,01/02/2022,09/03/2011,08007,Barcelona,08019,Barcelonès,Enric Granados 33,41.389516858,2.159903413,POINT (2.159903413 41.389516858)
20074,Comissió d'Apel·lacions de l'Agència per a la Qualitat del Sistema Universitari de Catalunya (AQU),presidenta de la Comissió d'Apel·lacions,Sra.,Maria Pau Ginebra Molins,21648,Departament de Recerca i Universitats,10081,UNI,,102250,02/06/2021,03/02/2017,,,,,,,,
20073,Comissió assessora de l'Agència per a la Qualitat del Sistema Universitari de Catalunya (AQU),President de la Comissió,Dr.,Josep Joan Moreso Mateos,21648,Departament de Recerca i Universitats,10081,UNI,,201500,02/06/2021,03/02/2017,,,,,,,,
13455,Comissió d'Avaluació Institucional i de Programes,president de la Comissió d'Avaluació Institucional i de Programes,Sr.,Martí Casadesús Fa,21648,Departament de Recerca i Universitats,10081,UNI,,1750,02/06/2021,26/02/2003,,,,,,,,
13950,Àrea Bàsica Policial Segarra-Urgell (Tàrrega),,,,13760,Departament d'Interior,10106,INT,,24500,15/11/2023,10/05/2004,25300,Tàrrega,25217,Urgell,Josep Tarradellas 1,41.642274461,1.137783039,
10108,Àrea Bàsica Policial Segarra-Urgell (Cervera),,,,13760,Departament d'Interior,10106,INT,,24000,15/11/2023,09/02/1999,25200,Cervera,25072,Segarra,Francesc Macià 49,41.67824093,1.283824677,
10127,Unitat Regional de Policia Administrativa (Regió Policial Ponent),,,,13760,Departament d'Interior,10106,INT,,13500,30/03/2023,09/02/1999,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,
10124,Oficina de Suport (Regió Policial Ponent),,,,13760,Departament d'Interior,10106,INT,,6921,30/03/2023,09/02/1999,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,
10109,Àrea Bàsica Policial Segrià-Garrigues-Pla d'Urgell (Lleida),,,,13760,Departament d'Interior,10106,INT,,25000,30/03/2023,09/02/1999,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,
10107,Àrea Bàsica Policial Noguera (Balaguer),,,,13760,Departament d'Interior,10106,INT,,23000,30/03/2023,09/02/1999,25600,Balaguer,25040,Noguera,Àngel Guimerà 60,41.78426591,0.80449189,
16135,"Àrea Regional de Seguretat Ciutadana, Proximitat i Atenció a les Víctimes (Regió Policial Ponent)",,,,13760,Departament d'Interior,10106,INT,,13625,30/03/2023,22/10/2007,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,
9904,Àrea Regional de Trànsit (Regió Policial Ponent),,,,13760,Departament d'Interior,10106,INT,,17000,30/03/2023,23/06/1998,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,
10110,Àrea Regional de Recursos Operatius (Regió Policial Ponent),,,,13760,Departament d'Interior,10106,INT,,16000,30/03/2023,09/02/1999,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,
10624,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Balaguer,,,,13760,Departament d'Interior,10107,INT,,1000,27/06/2013,11/11/1999,25600,Balaguer,25040,Noguera,Àngel Guimerà 60,41.78426591,0.80449189,POINT (0.80449189 41.78426591)
19111,Oficina Policial de la Generalitat - Mossos d'Esquadra a Artesa de Segre,,,,13760,Departament d'Interior,10107,INT,,300000,,,25730,Artesa de Segre,25034,Noguera,Balmes 20,41.895231091,1.045165583,POINT (1.045165583 41.895231091)
10622,Comissaria de Districte de la Policia de la Generalitat-Mossos d'Esquadra a Ponts,,,,13760,Departament d'Interior,10107,INT,,2000,11/12/2006,09/11/1999,25740,Ponts,25172,Noguera,"Calaf, C-1412, km. 1,5",41.90524,1.196407,POINT (1.196407 41.90524)
9942,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Cervera,,,,13760,Departament d'Interior,10108,INT,,1000,27/06/2013,09/11/1998,25200,Cervera,25072,Segarra,Francesc Macià 49,41.67824093,1.283824677,POINT (1.283824677 41.67824093)
19089,Oficina Policial de la Generalitat - Mossos d'Esquadra a Aitona,,,,13760,Departament d'Interior,10109,INT,,103000,10/06/2013,14/05/2013,25182,Aitona,25038,Segrià,Vint-i-set de Gener 67,41.495333864,0.460674886,POINT (0.460674886 41.495333864)
1090,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Lleida,,,,13760,Departament d'Interior,10109,INT,,1000,11/12/2006,19/06/1997,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,POINT (0.619989592 41.624977913)
10613,Comissaria de Districte de la Policia de la Generalitat-Mossos d'Esquadra a Mollerussa,,,,13760,Departament d'Interior,10109,INT,,3000,11/12/2006,02/11/1999,25230,Mollerussa,25137,Pla d'Urgell,Belianes s/n,41.626352082,0.899227005,POINT (0.899227005 41.626352082)
10611,Comissaria de Districte de la Policia de la Generalitat-Mossos d'Esquadra a les Borges Blanques,,,,13760,Departament d'Interior,10109,INT,,2000,11/12/2006,02/11/1999,25400,Les Borges Blanques,25058,Garrigues,Francesc Macià s/n,41.512681679,0.877436502,POINT (0.877436502 41.512681679)
10118,Àrea Bàsica Policial Val d'Aran-Alta Ribagorça (Vielha e Mijaran),,,,13760,Departament d'Interior,10114,INT,,27000,30/03/2023,09/02/1999,25530,Vielha,25243,Vielha e Mijaran,"França, N-230, pk.164,5",42.71442869,0.79743146,
10115,Àrea Bàsica Policial Alt Urgell (la Seu d'Urgell),,,,13760,Departament d'Interior,10114,INT,,24000,30/03/2023,09/02/1999,25700,La Seu d'Urgell,25203,Alt Urgell,Guillem Graell s/n,42.360966325,1.46567276,
10121,Àrea Regional de Recursos Operatius (Regió Policial Alt Pirineu i Aran),,,,13760,Departament d'Interior,10114,INT,,17000,30/03/2023,09/02/1999,25700,La Seu d'Urgell,25203,Alt Urgell,Guillem Graell s/n,42.360966325,1.46567276,
10129,Oficina de Suport (Regió Policial Alt Pirineu i Aran),,,,13760,Departament d'Interior,10114,INT,,6960,30/03/2023,09/02/1999,25700,La Seu d'Urgell,25203,Alt Urgell,Guillem Graell s/n,42.360966325,1.46567276,
10116,Àrea Bàsica Policial Cerdanya (Puigcerdà),,,,13760,Departament d'Interior,10114,INT,,25000,30/03/2023,09/02/1999,17520,Puigcerdà,17141,Cerdanya,Joan Maragall 63,42.433611539,1.933604436,
12774,Unitat Regional de Policia Administrativa (Regió Policial Alt Pirineu i Aran),,,,13760,Departament d'Interior,10114,INT,,14500,30/03/2023,11/03/2002,25700,La Seu d'Urgell,25203,Alt Urgell,Guillem Graell s/n,42.360966325,1.46567276,
16136,"Unitat Regional de Seguretat Ciutadana, Proximitat i Atenció a les Víctimes (Regió Policial Alt Pirineu i Aran)",,,,13760,Departament d'Interior,10114,INT,,14625,30/03/2023,27/11/2007,25700,La Seu d'Urgell,25203,Alt Urgell,Guillem Graell s/n,42.360966325,1.46567276,
10117,Àrea Bàsica Policial Pallars Jussà-Pallars Sobirà (Tremp),,,,13760,Departament d'Interior,10114,INT,,26000,30/03/2023,09/02/1999,25620,Tremp,25234,Pallars Jussà,Pompeu Fabra 20,42.160976,0.893451,
9903,Àrea Regional de Trànsit (Regió Policial Alt Pirineu i Aran),,,,13760,Departament d'Interior,10114,INT,,18000,30/03/2023,23/06/1998,25700,La Seu d'Urgell,25203,Alt Urgell,Guillem Graell s/n,42.360966325,1.46567276,
9941,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a la Seu d'Urgell,,,,13760,Departament d'Interior,10115,INT,,1000,11/12/2006,09/11/1998,25700,La Seu d'Urgell,25203,Alt Urgell,Guillem Graell s/n,42.360966325,1.46567276,POINT (1.46567276 42.360966325)
6735,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Puigcerdà,,,,13760,Departament d'Interior,10116,INT,,1000,11/12/2006,19/06/1997,17520,Puigcerdà,17141,Cerdanya,Joan Maragall 63,42.433611539,1.933604436,POINT (1.933604436 42.433611539)
10676,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sort,,,,13760,Departament d'Interior,10117,INT,,2000,11/12/2006,19/01/2000,25560,Sort,25209,Pallars Sobirà,Cabanera 1,42.40930135,1.128046212,POINT (1.128046212 42.40930135)
10623,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Tremp,,,,13760,Departament d'Interior,10117,INT,,1000,11/12/2006,09/11/1999,25620,Tremp,25234,Pallars Jussà,Pompeu Fabra 20,42.160976,0.893451,POINT (0.893451 42.160976)
10677,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra al Pont de Suert,,,,13760,Departament d'Interior,10118,INT,,101000,06/11/2008,19/01/2000,25520,El Pont de Suert,25173,Alta Ribagorça,Victoriano Muñoz s/n,42.411299,0.740117,POINT (0.740117 42.411299)
1095,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Vielha e Mijaran,,,,13760,Departament d'Interior,10118,INT,,1000,11/12/2006,19/06/1997,25530,Vielha,25243,Vielha e Mijaran,"França, N-230, pk.164,5",42.71442869,0.79743146,POINT (0.79743146 42.71442869)
1096,Comissaria de la Policia de la Generalitat -  Mossos d'Esquadra a Berga,,,,13760,Departament d'Interior,10119,INT,,1000,11/12/2006,19/06/1997,08600,Berga,08022,Berguedà,Programari Lliure 7 (Seu: comissaria de Berga),42.096584,1.840126,POINT (1.840126 42.096584)
9958,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Solsona,,,,13760,Departament d'Interior,10120,INT,,1000,11/12/2006,17/11/1998,25280,Solsona,25207,Solsonès,Mossèn Jacint Verdaguer 19,41.992637039,1.511447584,POINT (1.511447584 41.992637039)
10284,Unitat de Formació en l'Àmbit Judicial i Forense,Cap de la Unitat de Formació en l'Àmbit Judicial i Forense,Sra.,Laura López Esteban,13757,"Departament de Justícia, Drets i Memòria",10282,JUS,,1000,15/01/2024,26/04/1999,08009,Barcelona,08019,Barcelonès,Pau Claris 158,41.39474126,2.164639043,
10285,Unitat de Formació en l'Administració de Justícia,Cap de la Unitat de Formació en l'Administració de Justícia,Sra.,Maria Carbonell Martínez,13757,"Departament de Justícia, Drets i Memòria",10282,JUS,,2000,11/03/2024,26/04/1999,08009,Barcelona,08019,Barcelonès,Pau Claris 158,41.39474126,2.164639043,
16039,Unitat de Formació Contínua en Execució Penal,Cap de la Unitat de Formació Contínua en Execució Penal,Sr.,Ignasi Jambrina Gato,13757,"Departament de Justícia, Drets i Memòria",10283,JUS,,300000,13/03/2024,03/08/2007,08009,Barcelona,08019,Barcelonès,Pau Claris 158,41.39474126,2.164639043,
10286,Unitat de Formació Inicial en Execució Penal,cap de la Unitat de Formació Inicial en Execució Penal (e.f.),Sra.,Penélope Torres Moreno,13757,"Departament de Justícia, Drets i Memòria",10283,JUS,,1000,11/11/2020,26/04/1999,08009,Barcelona,08019,Barcelonès,Pau Claris 158,41.39474126,2.164639043,POINT (2.164639043 41.39474126)
10466,Secció de Procediment de Lleida,cap de la Secció de Procediment de Lleida,Sra.,Rosa Maria Rosell Simón,13760,Departament d'Interior,10293,INT,,1000,09/03/2023,07/07/1999,25007,Lleida,25120,Segrià,"Ferran 1, 3a. planta",41.617209658,0.629382231,
10465,Secció de Seguretat Viària de Lleida,cap de la Secció de Seguretat Viària,Sr.,Víctor López i Bosch,13760,Departament d'Interior,10293,INT,,500,09/03/2023,07/07/1999,25007,Lleida,25120,Segrià,"Ferran 1, 3a. planta",41.617209658,0.629382231,
15594,Coordinadora de Programes Estratègics del Departament de la Presidència,Coordinadora de Programes Estratègics del Departament de la Presidència,Sra.,Immaculada López Calderón,6,Departament de la Presidència,10294,PRE,,300,27/07/2016,30/07/2012,08002,Barcelona,08019,Barcelonès,Sant Honorat 1-3,41.382684435,2.176473619,POINT (2.176473619 41.382684435)
19544,Àrea de Programes Internacionals,cap de l'Àrea de Programes Internacionals,Sra.,Esther Estany Campos,19775,Departament d'Empresa i Treball,10365,SOC,,401000,15/06/2023,25/01/2016,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
19615,Àrea d'Acords Territorials,cap de l'Àrea d'Acords Territorials,Sr.,Lluís Rodríguez Salgado,19775,Departament d'Empresa i Treball,10365,SOC,,100218,15/06/2023,29/07/2015,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
10368,Servei de Programes d'Oportunitats d'Ocupació,cap del Servei de Programes d'Oportunitats d'Ocupació,Sra.,Marta Cañellas i Pascual,19775,Departament d'Empresa i Treball,10365,SOC,,51000,15/06/2023,12/05/1999,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
19613,Servei de Centres Propis d'Innovació i Formació,cap del Servei de Centres Propis d'Innovació i Formació,Sra.,Josefa Mari Torres,19775,Departament d'Empresa i Treball,10365,SOC,,88500,15/06/2023,29/07/2015,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
12478,Centre d'Innovació i Formació Ocupacional (CIFO) de l'Hospitalet de Llobregat,director del Centre d'Innovació i Formació Ocupacional de l'Hospitalet de Llobregat,Sr.,Francisco Miranda Casanovas,19775,Departament d'Empresa i Treball,10365,SOC,,94750,15/06/2023,26/10/2001,08907,L'Hospitalet de Llobregat,08101,Barcelonès,Mig 24,41.359018665,2.114669566,
12477,Centre d'Innovació i Formació Ocupacional (CIFO) de Sant Feliu de Llobregat,director del Centre d'Innovació i Formació Ocupacional (CIFO) de Sant Feliu de Llobregat (e.f.),Sr.,Juan Carlos Gemes Aragones,19775,Departament d'Empresa i Treball,10365,SOC,,97875,15/06/2023,26/10/2001,08980,Sant Feliu de Llobregat,08211,Baix Llobregat,Hospitalet 3,41.385944591,2.041278904,
19614,Oficina de Certificació Professional,cap de l'Oficina de Certificació Professional (e.f),Sra.,M. Isabel Gutiérrez Corrales,19775,Departament d'Empresa i Treball,10365,SOC,,99437,15/06/2023,29/07/2015,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
10367,Servei de Formació Professional per a la Inserció Laboral,cap de Servei de Formació Professional per a la Inserció Laboral (e.f.),Sra.,Concepción Celaya Miralles,19775,Departament d'Empresa i Treball,10365,SOC,,76000,15/06/2023,12/05/1999,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
19612,Servei de Desenvolupament Econòmic Local,cap del Servei de Desenvolupament Econòmic Local (e.f.),Sra.,Silvia Conde Maturana,19775,Departament d'Empresa i Treball,10365,SOC,,25500,15/06/2023,29/07/2015,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
4884,Negociat de Promoció de Programes,,Sra.,M. Teresa Benito i Llanos,19775,Departament d'Empresa i Treball,10367,SOC,,500,15/06/2023,19/06/1997,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
10376,Secció d'Ajuts i Contractació,Cap de la Secció d'Ajuts i Contractació,Sra.,Carolina Cuadrado Villar,19775,Departament d'Empresa i Treball,10367,SOC,,1062,15/06/2023,12/05/1999,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
10370,Secció de Programes de Formació,cap de secció de Programes de Formació,Sr.,Carlos García i Cubero,19775,Departament d'Empresa i Treball,10367,SOC,,1000,15/06/2023,12/05/1999,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
10371,Secció de Programes d'Ocupació i Foment de la Contractació,,,,19775,Departament d'Empresa i Treball,10368,SOC,,101000,15/06/2023,12/05/1999,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
10662,Negociat d'Escoles Taller i Cases d'Ofici,cap del  Negociat d'Escoles Taller i Cases d'Ofici (e.f.),Sra.,Alicia Huerta Carrillo,19775,Departament d'Empresa i Treball,10368,SOC,,500,15/06/2023,14/01/2000,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
4882,Negociat de Secretaria de Formació,cap del Negociat de Secretaria de Formació,Sra.,Alicia Huerta Carrillo,19775,Departament d'Empresa i Treball,10370,SOC,,500,15/06/2023,19/06/1997,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
4896,Negociat de Formació,,Sra.,Maria Àngels Clara Falco,19775,Departament d'Empresa i Treball,10370,SOC,,1000,15/06/2023,19/06/1997,08016,Barcelona,08019,Barcelonès,Rosselló i Porcel 21 8a i 9a planta,41.437006285,2.180856851,
4898,Negociat de Control Pressupostari,,Sra.,Carme Castillo Teno,19775,Departament d'Empresa i Treball,10376,SOC,,500,15/06/2023,19/06/1997,08019,Barcelona,08019,Barcelonès,Llull 297-307,41.406350877,2.208506223,
11015,Consell Acadèmic del Centre d'Estudis de Temes Contemporanis,,,,19769,Departament d'Acció Exterior i Unió Europea,104,EXI,,500,04/11/2022,01/06/2000,08001,Barcelona,08019,Barcelonès,Marquès de Barberà 33,41.377629848,2.171540781,POINT (2.171540781 41.377629848)
21209,Comissió Executiva (DIOCESA),,,,2221,Departament de Cultura,10463,CLT,,0,06/08/2019,06/08/2019,25002,Lleida,25120,Segrià,Sant Crist 1,41.613979513,0.621428219,POINT (0.621428219 41.613979513)
21208,Plenari (DIOCESA),,,,2221,Departament de Cultura,10463,CLT,,0,06/08/2019,06/08/2019,25002,Lleida,25120,Segrià,Sant Crist 1,41.613979513,0.621428219,POINT (0.621428219 41.613979513)
14034,Coordinador/a d'Educació Viària (STTL),,,,13760,Departament d'Interior,10465,INT,,1000,09/03/2023,10/06/2004,25007,Lleida,25120,Segrià,"Ferran 1, 3a. planta",41.617209658,0.629382231,
14024,Responsable de Sancions (STTL),responsable de Sancions (STTL),Sra.,M. Cortijo Latorre Latorre,13760,Departament d'Interior,10466,INT,,1000,09/03/2023,10/06/2004,25007,Lleida,25120,Segrià,"Ferran 1, 3a. planta",41.617209658,0.629382231,
10527,Departament de Normativa i Serveis Consultius (Agència de Residus de Catalunya),Cap del Departament de Normativa i Serveis Consultius,Sra.,Carme Pérez Tardio,4163,"Departament d'Acció Climàtica, Alimentació i Agenda Rural",10524,ARP,,1500,03/08/2023,16/09/1999,08038,Barcelona,08019,Barcelonès,Zona Franca 107 (Edifici Torre Ponent),41.357231554,2.140850502,
13073,Secció de Recursos Humans i Administració de la Regió Policial Ponent,cap de la Secció de Recursos Humans i Administració de la RPP,Sr.,Josep Oriol Valgañon i Barberà,13760,Departament d'Interior,10629,INT,,300,07/02/2024,22/07/2002,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,
17242,Negociat de Coordinació Administrativa de l'ABP el Segrià - Garrigues - Pla d'Urgell,,,,13760,Departament d'Interior,10629,INT,,500000,,,25008,Lleida,25120,Segrià,Sant Hilari 38,41.624977913,0.619989592,POINT (0.619989592 41.624977913)
17240,Negociat de Coordinació Administrativa de l'ABP la Noguera,,,,13760,Departament d'Interior,10629,INT,,300000,,,25600,Balaguer,25040,Noguera,Àngel Guimerà 60,41.78426591,0.80449189,POINT (0.80449189 41.78426591)
17241,Negociat de Coordinació Administrativa de l'ABP la Segarra - Urgell,,,,13760,Departament d'Interior,10629,INT,,400000,,,25200,Cervera,25072,Segarra,Francesc Macià 49,41.67824093,1.283824677,POINT (1.283824677 41.67824093)
18400,Àrea Regional de Trànsit Metropolitana Sud Sector Vilafranca,,,,13760,Departament d'Interior,10639,INT,,200000,07/09/2011,07/09/2011,08720,Vilafranca del Penedès,08305,Alt Penedès,Subirats 5,41.352189519,1.707365478,POINT (1.707365478 41.352189519)
18389,Àrea Regional de Trànsit Metropolitana Sud Sector Sant Feliu de Llobregat,,,,13760,Departament d'Interior,10639,INT,,100000,,,08980,Sant Feliu de Llobregat,08211,Baix Llobregat,Sànson 66,41.390223199,2.0484382,POINT (2.0484382 41.390223199)
